,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),FoodGroup
7608,23565,1.903734148,1.35391648,2.701682836,0.761310179,0.434114115,0,0,0,0.080217619,0.546024241,0.49135648,1.263605127,1.182185037,0.092655105,2.075073818,0.183561856,0.002065068,0.789301413,0,0.085231603,0.440677003,1.46457275,0.661586565,0.931639129,0.063279575,0,0.143473804,1.965272099,0.659562052,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.019464917,0.737621372,0.746746753,0.085353194,0.760423302,"Meals, Entrees, and Side Dishes"
7609,23566,1.993103709,1.259730986,2.527901479,0.701872341,0.315411036,0,0,0,0.065176815,0.512340927,0.382166151,0.975503158,0.819065845,0.064965074,2.017432879,0.146478653,0.001588514,0.789301413,0,0.073338821,0.394532814,1.125336028,0.513200979,0.755324247,0.047459681,0,0.107605353,1.83841099,0.586539111,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.017842841,0.684867042,0.693185144,0.079370494,0.75187922,"Meals, Entrees, and Side Dishes"
7610,23567,2.133820146,1.265617579,1.765352686,0.948476137,0.308628003,0,0,0,0.075204018,0.370516449,0.327570987,0.864305907,0.805414748,0.07029008,1.359112676,0.124228731,0.001588514,0.577359367,0,0.083249472,0.348388625,1.000705279,0.450075619,0.75314752,0.047459681,0,0.107605353,1.315915235,0.51116059,0.003794982,0.005259346,0,0,0,0,0,0.044710406,0.032478123,0.021086994,0.894632034,0.959806228,0.086350311,0.580997579,"Meals, Entrees, and Side Dishes"
7611,23568,1.884235334,1.471648348,2.462377361,0.974401151,0.345934685,0,0,0,0.090244821,0.460929554,0.382166151,1.00077526,0.868209796,0.076680087,1.914285935,0.157603614,0.001906217,0.78564724,0,0.091177993,0.406068861,1.157623787,0.539434895,0.83150969,0.071189521,0,0.16140803,1.771755153,0.621872792,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.019464917,0.92280942,0.989331879,0.096520902,0.75187922,"Meals, Entrees, and Side Dishes"
7612,23569,1.969705133,1.365689667,2.3379765,0.886509029,0.362892268,0,0,0,0.100272024,0.475112002,0.400364539,1.066482727,0.9528466,0.084135096,1.880914865,0.150186973,0.001906217,0.741797162,0,0.085231603,0.408376071,1.243724478,0.596821586,0.798858786,0.063279575,0,0.143473804,1.743802705,0.657206473,0.002710702,0.00394451,0,0,0,0,0,0.034190311,0,0.024331147,0.834520275,0.895265231,0.087347428,0.717702892,"Meals, Entrees, and Side Dishes"
7613,23570,1.816639448,1.506967909,2.633309843,0.96744566,0.413765015,0,0,0,0.110299226,0.519432151,0.454959704,1.202952081,1.11119933,0.094785108,2.008331678,0.172436895,0.001906217,0.789301413,0,0.087213733,0.440677003,1.359960411,0.661586565,0.931639129,0.079099468,0,0.179342255,1.965272099,0.659562052,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.027575299,0.908877268,0.975088349,0.095124939,0.760423302,"Meals, Entrees, and Side Dishes"
7614,23571,1.916733357,1.412782414,2.462377361,0.908007822,0.31201952,0,0,0,0.090244821,0.485748838,0.363967763,0.940122214,0.780842772,0.068160077,1.956758206,0.146478653,0.001588514,0.767376374,0,0.079285212,0.394532814,1.060545259,0.490246302,0.735733705,0.047459681,0,0.107605353,1.83841099,0.586539111,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.025953223,0.860506087,0.923158811,0.090139355,0.75187922,"Meals, Entrees, and Side Dishes"
7615,23572,2.010652641,1.495194722,1.63050595,1.264634849,0.284887388,0,0,0,0.090244821,0.343924359,0.309372598,0.79859844,0.737159261,0.07029008,1.268100667,0.11310377,0.001588514,0.548125981,0,0.085231603,0.348388625,0.90986905,0.408265315,0.703082801,0.055369628,0,0.125539579,1.212706197,0.504093854,0.003794982,0.005259346,0,0,0,0,0,0.044710406,0.032478123,0.029197376,1.186737611,1.312778714,0.103899566,0.606629825,"Meals, Entrees, and Side Dishes"
7616,23573,1.81956427,1.589380216,2.445284113,1.124260381,0.339151652,0,0,0,0.120326428,0.439655882,0.363967763,0.980557578,0.829986723,0.079875091,1.896083533,0.148332813,0.001747365,0.78564724,0,0.093160124,0.406068861,1.097353304,0.539434895,0.796682059,0.079099468,0,0.179342255,1.73735214,0.643073001,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.025953223,1.058843583,1.171382001,0.103101873,0.75187922,"Meals, Entrees, and Side Dishes"
7617,23574,1.9209581,1.448101975,2.282898256,1.007913975,0.359500751,0,0,0,0.130353631,0.459156748,0.382166151,1.036156204,0.914623527,0.0883951,1.841476327,0.140916172,0.001906217,0.727180469,0,0.085231603,0.408376071,1.19034205,0.50418307,0.77491479,0.071189521,0,0.16140803,1.623392161,0.657206473,0.002710702,0.00394451,0,0,0,0,0,0.034190311,0,0.024331147,0.94378592,1.044080449,0.091934165,0.717702892,"Meals, Entrees, and Side Dishes"
